gazette_id,date,url,name,description
2289-43,2022-July-22,http://documents.gov.lk/files/egz/2022/7/2289-43_E.pdf,2289-43 Extra Ordinary Gazette,Functions and Amendments
2297-78,2022-September-16,http://documents.gov.lk/files/egz/2022/9/2297-78_E.pdf,2297-78 Extra Ordinary Gazette,Functions and Amendments
2300-24,2022-October-5,http://documents.gov.lk/files/egz/2022/10/2300-24_E.pdf,2300-24 Extra Ordinary Gazette,Functions and Amendments
2303-17,2022-October-26,http://documents.gov.lk/files/egz/2022/10/2303-17_T.pdf,2303-17 Extra Ordinary Gazette,Functions and Amendments
2311-42,2022-December-22,http://documents.gov.lk/files/egz/2022/12/2311-42_E.pdf,2311-42 Extra Ordinary Gazette,Functions and Amendments
2315-35,2023-January-19,http://documents.gov.lk/files/egz/2023/1/2315-35_E.pdf,2315-35 Extra Ordinary Gazette,Functions and Amendments
2334-07,2023-May-30,http://documents.gov.lk/files/egz/2023/5/2334-07_E.pdf,2334-07 Extra Ordinary Gazette,Functions and Amendments
2343-05,2023-July-31,http://documents.gov.lk/files/egz/2023/7/2343-05_E.pdf,2343-05 Extra Ordinary Gazette,Functions and Amendments
2355-10,2023-October-23,http://documents.gov.lk/files/egz/2023/10/2355-10_E.pdf,2355-10 Extra Ordinary Gazette,Functions and Amendments
2363-75,2023-December-22,http://documents.gov.lk/files/egz/2023/12/2363-75_E.pdf,2363-75 Extra Ordinary Gazette,Functions and Amendments
2398-39,2024-August-23,http://documents.gov.lk/files/egz/2024/8/2398-39_E.pdf,2398-39 Extra Ordinary Gazette,Functions and Amendments
2398-40,2024-August-23,http://documents.gov.lk/files/egz/2024/8/2398-40_E.pdf,2398-40 Extra Ordinary Gazette,Functions and Amendments
2403-53,2024-September-27,http://documents.gov.lk/files/egz/2024/9/2403-53_E.pdf,2403-53 Extra Ordinary Gazette,Functions and Amendments
2412-08,2024-November-25,http://documents.gov.lk/files/egz/2024/11/2412-08_E.pdf,2412-08 Extra Ordinary Gazette,Functions and Amendments
