parent_id,child_id,parent_date,child_date
1651/20,1681/03,2010-April-30,2010-November-22
1651/20,1697/25,2010-April-30,2011-March-17
1651/20,1796/10,2010-April-30,2013-February-06
1651/20,1798/13,2010-April-30,2013-February-18
1651/20,1816/10,2010-April-30,2013-June-25
1651/20,1823/70,2010-April-30,2013-August-16
1651/20,1832/27,2010-April-30,2013-October-17
1651/20,1875/33,2010-April-30,2014-August-14
1651/20,1881/06,2010-April-30,2014-September-22
1651/20,1888/11,2010-April-30,2014-November-11
