parent_id,child_id,parent_date,child_date
2187-27,2194-74,2020-Aug-09,2020-SEP-25
2187-27,2196-27,2020-Aug-09,2020-OCT-06
2187-27,2202-25,2020-Aug-09,2020-Nov-20
2187-27,2205-14,2020-Aug-09,2020-Dec-21
2187-27,2226-17,2020-Aug-09,2021-May-03
2187-27,2228-10,2020-Aug-09,2021-May-17
2187-27,2230-12,2020-Aug-09,2021-June-03
2187-27,2232-39,2020-Aug-09,2021-June-18
2187-27,2235-45,2020-Aug-09,2021-July-07
2187-27,2235-59,2020-Aug-09,2021-July-08
2187-27,2238-19,2020-Aug-09,2021-July-29
2187-27,2241-07,2020-Aug-09,2021-Aug-16
2187-27,2248-35,2020-Aug-09,2021-Oct-06
2187-27,2254-30,2020-Aug-09,2021-Nov-07
2187-27,2256-39,2020-Aug-09,2021-Dec-02
