gazette_id,date,url,name,description
1651/20,2010-April-30,http://documents.gov.lk/files/egz/2010/4/1651-20_E.pdf,1651/20 Extra Ordinary Gazette,Functions and Amendments
1681/03,2010-November-22,NA,1681/03 Extra Ordinary Gazette,Functions and Amendments
1697/25,2011-March-17,http://documents.gov.lk/files/egz/2011/3/1697-25_E.pdf,1697/25 Extra Ordinary Gazette,Functions and Amendments
1796/10,2013-February-06,http://documents.gov.lk/files/egz/2013/2/1796-10_E.pdf,1796/10 Extra Ordinary Gazette,Functions and Amendments
1798/13,2013-February-18,http://documents.gov.lk/files/egz/2013/2/1798-13_E.pdf,1798/13 Extra Ordinary Gazette,Functions and Amendments
1816/10,2013-June-25,http://documents.gov.lk/files/egz/2013/6/1816-10_E.pdf,1816/10 Extra Ordinary Gazette,Functions and Amendments
1823/70,2013-August-16,http://documents.gov.lk/files/egz/2013/8/1823-70_E.pdf,1823/70 Extra Ordinary Gazette,Functions and Amendments 
1832/27,2013-October-17,http://documents.gov.lk/files/egz/2013/10/1832-27_E.pdf,1832/27 Extra Ordinary Gazette,Functions and Amendments
1875/33,2014-August-14,http://documents.gov.lk/files/egz/2014/8/1875-33_E.pdf,1875/33 Extra Ordinary Gazette,Functions and Amendments
1881/06,2014-September-22,http://documents.gov.lk/files/egz/2014/9/1881-06_E.pdf,1881/06 Extra Ordinary Gazette,Functions and Amendments
1888/11,2014-November-11,http://documents.gov.lk/files/egz/2014/11/1888-11_E.pdf,1888/11 Extra Ordinary Gazette,Functions and Amendments
