gazette_id,date,url,name,description
2187-27,2020-Aug-09,http://documents.gov.lk/files/egz/2020/8/2187-27_E.pdf,2187-27 Extra Ordinary Gazette,Functions and Amendments
2194-74,2020-SEP-25,http://documents.gov.lk/files/egz/2020/9/2194-74_E.pdf,2194-74 Extra Ordinary Gazette,Functions and Amendments
2196-27,2020-OCT-06,http://documents.gov.lk/files/egz/2020/10/2196-27_E.pdf,2196-27 Extra Ordinary Gazette,Functions and Amendments
2202-25,2020-Nov-20,http://documents.gov.lk/files/egz/2020/11/2202-25_E.pdf,2202-25 Extra Ordinary Gazette,Functions and Amendments
2205-14,2020-Dec-21,http://documents.gov.lk/files/egz/2020/12/2205-14_E.pdf,2205-14 Extra Ordinary Gazette,Functions and Amendments
2226-17,2021-May-03,http://documents.gov.lk/files/egz/2021/5/2226-17_E.pdf,2226-17 Extra Ordinary Gazette,Functions and Amendments
2228-10,2021-May-17,http://documents.gov.lk/files/egz/2021/5/2228-10_E.pdf,2228-10 Extra Ordinary Gazette,Functions and Amendments
2230-12,2021-June-03,http://documents.gov.lk/files/egz/2021/6/2230-12_E.pdf,2230-12 Extra Ordinary Gazette,Functions and Amendments
2232-39,2021-June-18,http://documents.gov.lk/files/egz/2021/6/2232-39_E.pdf,2232-39 Extra Ordinary Gazette,Functions and Amendments
2235-45,2021-July-07,http://documents.gov.lk/files/egz/2021/7/2235-45_E.pdf,2235-45 Extra Ordinary Gazette,Functions and Amendments
2235-59,2021-July-08,http://documents.gov.lk/files/egz/2021/7/2235-59_E.pdf,2235-59 Extra Ordinary Gazette,Functions and Amendments
2238-19,2021-July-29,http://documents.gov.lk/files/egz/2021/7/2238-19_E.pdf,2238-19 Extra Ordinary Gazette,Functions and Amendments
2241-07,2021-Aug-16,http://documents.gov.lk/files/egz/2021/8/2241-07_E.pdf,2241-07 Extra Ordinary Gazette,Functions and Amendments
2248-35,2021-Oct-06,http://documents.gov.lk/files/egz/2021/10/2248-35_E.pdf,2248-35 Extra Ordinary Gazette,Functions and Amendments
2254-30,2021-Nov-07,http://documents.gov.lk/files/egz/2021/11/2254-30_E.pdf,2254-30 Extra Ordinary Gazette,Functions and Amendments
2256-39,2021-Dec-02,http://documents.gov.lk/files/egz/2021/12/2256-39_E.pdf,2256-39 Extra Ordinary Gazette,Functions and Amendments
